hunter,tick,x,y,mode
5, 0, 100.01072381188656, 100.01072381188656, 'SEARCH'
5, 1, 100.01590036888072, 100.01590036888072, 'SEARCH'
5, 2, 100.03693180745525, 100.03693180745525, 'SEARCH'
5, 3, 100.04674957632274, 100.04674957632274, 'SEARCH'
5, 4, 100.05567004486706, 100.05567004486706, 'SEARCH'
5, 5, 100.08240247747737, 100.08240247747737, 'SEARCH'
5, 6, 100.10587881623844, 100.10587881623844, 'SEARCH'
5, 7, 100.12540526789621, 100.12540526789621, 'SEARCH'
5, 8, 100.14797412185261, 100.14797412185261, 'SEARCH'
5, 9, 100.16712003969799, 100.16712003969799, 'SEARCH'
5, 10, 100.16933301029465, 100.16933301029465, 'SEARCH'
5, 11, 100.16338021981296, 100.16338021981296, 'SEARCH'
5, 12, 100.14296599288353, 100.14296599288353, 'SEARCH'
5, 13, 100.16857491986647, 100.16857491986647, 'SEARCH'
5, 14, 100.18831742029502, 100.18831742029502, 'SEARCH'
5, 15, 100.21609456928066, 100.21609456928066, 'SEARCH'
5, 16, 100.2437848938333, 100.2437848938333, 'SEARCH'
5, 17, 100.26926348968213, 100.26926348968213, 'SEARCH'
5, 18, 100.24690221265158, 100.24690221265158, 'SEARCH'
5, 19, 100.27153695003936, 100.27153695003936, 'SEARCH'
5, 20, 100.24978238866517, 100.24978238866517, 'SEARCH'
5, 21, 100.23612090030484, 100.23612090030484, 'SEARCH'
5, 22, 100.21704474973617, 100.21704474973617, 'SEARCH'
5, 23, 100.19730669635943, 100.19730669635943, 'SEARCH'
5, 24, 100.22498663617809, 100.22498663617809, 'SEARCH'
5, 25, 100.25120941169995, 100.25120941169995, 'SEARCH'
5, 26, 100.24576402437684, 100.24576402437684, 'SEARCH'
5, 27, 100.25740193832739, 100.25740193832739, 'SEARCH'
5, 28, 100.26542953675195, 100.26542953675195, 'SEARCH'
5, 29, 100.29294779475423, 100.29294779475423, 'SEARCH'
5, 30, 100.30673685849672, 100.30673685849672, 'SEARCH'
5, 31, 100.30517818818774, 100.30517818818774, 'SEARCH'
5, 32, 100.29652520282298, 100.29652520282298, 'SEARCH'
5, 33, 100.28431812958172, 100.28431812958172, 'SEARCH'
5, 34, 100.26684357650963, 100.26684357650963, 'SEARCH'
