hunter,tick,x,y,mode
10, 0, 99.97702004461962, 99.97702004461962, 'SEARCH'
10, 1, 99.97702004461962, 99.97702004461962, 'SEARCH'
10, 2, 99.97702004461962, 99.97702004461962, 'SEARCH'
10, 3, 99.97702004461962, 99.97702004461962, 'SEARCH'
10, 4, 99.99090731775966, 99.99090731775966, 'APPROACH-STEALTH'
10, 5, 100.0047945908997, 100.0047945908997, 'APPROACH-STEALTH'
10, 6, 100.01868186403975, 100.01868186403975, 'APPROACH-STEALTH'
10, 7, 100.03256913717979, 100.03256913717979, 'APPROACH-STEALTH'
10, 8, 100.04645641031983, 100.04645641031983, 'APPROACH-STEALTH'
10, 9, 100.06034368345988, 100.06034368345988, 'APPROACH-STEALTH'
10, 10, 100.07423095659992, 100.07423095659992, 'APPROACH-STEALTH'
10, 11, 100.08811822973996, 100.08811822973996, 'APPROACH-STEALTH'
10, 12, 100.10200550288, 100.10200550288, 'APPROACH-STEALTH'
10, 13, 100.11589277602005, 100.11589277602005, 'APPROACH-STEALTH'
10, 14, 100.12978004916009, 100.12978004916009, 'APPROACH-STEALTH'
10, 15, 100.14366732230013, 100.14366732230013, 'APPROACH-STEALTH'
10, 16, 100.15755459544017, 100.15755459544017, 'APPROACH-STEALTH'
10, 17, 100.17144186858022, 100.17144186858022, 'APPROACH-STEALTH'
10, 18, 100.18532914172026, 100.18532914172026, 'APPROACH-STEALTH'
10, 19, 100.1992164148603, 100.1992164148603, 'APPROACH-STEALTH'
10, 20, 100.21310368800034, 100.21310368800034, 'APPROACH-STEALTH'
10, 21, 100.22699096114039, 100.22699096114039, 'APPROACH-STEALTH'
10, 22, 100.24087823428043, 100.24087823428043, 'APPROACH-STEALTH'
10, 23, 100.25476550742047, 100.25476550742047, 'APPROACH-STEALTH'
10, 24, 100.26865278056052, 100.26865278056052, 'APPROACH-STEALTH'
10, 25, 100.28254005370056, 100.28254005370056, 'APPROACH-STEALTH'
10, 26, 100.2964273268406, 100.2964273268406, 'APPROACH-STEALTH'
10, 27, 100.31031459998064, 100.31031459998064, 'APPROACH-STEALTH'
10, 28, 100.32420187312069, 100.32420187312069, 'APPROACH-STEALTH'
10, 29, 100.33808914626073, 100.33808914626073, 'APPROACH-STEALTH'
10, 30, 100.35197641940077, 100.35197641940077, 'APPROACH-STEALTH'
10, 31, 100.36586369254081, 100.36586369254081, 'APPROACH-STEALTH'
10, 32, 100.37975096568086, 100.37975096568086, 'APPROACH-STEALTH'
10, 33, 100.3936382388209, 100.3936382388209, 'APPROACH-STEALTH'
10, 34, 100.40752551196094, 100.40752551196094, 'APPROACH-STEALTH'
10, 35, 100.42141278510098, 100.42141278510098, 'APPROACH-STEALTH'
10, 36, 100.43530005824103, 100.43530005824103, 'APPROACH-STEALTH'
10, 37, 100.44918733138107, 100.44918733138107, 'APPROACH-STEALTH'
10, 38, 100.46307460452111, 100.46307460452111, 'APPROACH-STEALTH'
10, 39, 100.47696187766115, 100.47696187766115, 'APPROACH-STEALTH'
10, 40, 100.4908491508012, 100.4908491508012, 'APPROACH-STEALTH'
10, 41, 100.50473642394124, 100.50473642394124, 'APPROACH-STEALTH'
10, 42, 100.51093811659828, 100.51093811659828, 'APPROACH-STEALTH'
10, 43, 100.51713980925533, 100.51713980925533, 'APPROACH-STEALTH'
10, 44, 100.52334150191237, 100.52334150191237, 'APPROACH-STEALTH'
10, 45, 100.52954319456941, 100.52954319456941, 'APPROACH-STEALTH'
10, 46, 100.53574488722646, 100.53574488722646, 'APPROACH-STEALTH'
10, 47, 100.5419465798835, 100.5419465798835, 'APPROACH-STEALTH'
10, 48, 100.54814827254054, 100.54814827254054, 'APPROACH-STEALTH'
10, 49, 100.55434996519759, 100.55434996519759, 'APPROACH-STEALTH'
10, 50, 100.56055165785463, 100.56055165785463, 'APPROACH-STEALTH'
