hunter,tick,x,y,mode
10, 0, 100.01110295302087, 100.01110295302087, 'SEARCH'
10, 1, 100.01576556891123, 100.01576556891123, 'SEARCH'
10, 2, 100.02184324397516, 100.02184324397516, 'SEARCH'
10, 3, 100.03222884766254, 100.03222884766254, 'SEARCH'
10, 4, 100.04295204783163, 100.04295204783163, 'SEARCH'
10, 5, 100.05405518292253, 100.05405518292253, 'SEARCH'
10, 6, 100.05196626735437, 100.05196626735437, 'SEARCH'
10, 7, 100.04838407566005, 100.04838407566005, 'SEARCH'
10, 8, 100.05329320467912, 100.05329320467912, 'SEARCH'
10, 9, 100.0597046860126, 100.0597046860126, 'SEARCH'
10, 10, 100.05782514429892, 100.05782514429892, 'SEARCH'
10, 11, 100.06274630642311, 100.06274630642311, 'SEARCH'
10, 12, 100.05955552094557, 100.05955552094557, 'SEARCH'
10, 13, 100.07062989622638, 100.07062989622638, 'SEARCH'
10, 14, 100.08172218291655, 100.08172218291655, 'SEARCH'
10, 15, 100.09267535215558, 100.09267535215558, 'SEARCH'
10, 16, 100.09447599457503, 100.09447599457503, 'SEARCH'
10, 17, 100.09589795069019, 100.09589795069019, 'SEARCH'
10, 18, 100.10685279213972, 100.10685279213972, 'SEARCH'
10, 19, 100.10770093671289, 100.10770093671289, 'SEARCH'
10, 20, 100.11788312967931, 100.11788312967931, 'SEARCH'
10, 21, 100.11788312967931, 100.11788312967931, 'SEARCH'
10, 22, 100.11788312967931, 100.11788312967931, 'SEARCH'
10, 23, 100.11788312967931, 100.11788312967931, 'SEARCH'
10, 24, 100.11788312967931, 100.11788312967931, 'SEARCH'
10, 25, 100.11788312967931, 100.11788312967931, 'SEARCH'
10, 26, 100.11641944062194, 100.11641944062194, 'APPROACH-BLIND'
10, 27, 100.11568759609325, 100.11568759609325, 'APPROACH-STEALTH'
10, 28, 100.11495575156457, 100.11495575156457, 'APPROACH-STEALTH'
10, 29, 100.11422390703588, 100.11422390703588, 'APPROACH-STEALTH'
10, 30, 100.11349206250719, 100.11349206250719, 'APPROACH-STEALTH'
10, 31, 100.1127602179785, 100.1127602179785, 'APPROACH-STEALTH'
10, 32, 100.11202837344982, 100.11202837344982, 'APPROACH-STEALTH'
10, 33, 100.11056468439244, 100.11056468439244, 'APPROACH-BLIND'
10, 34, 100.10910099533507, 100.10910099533507, 'APPROACH-BLIND'
10, 35, 100.10836915080638, 100.10836915080638, 'APPROACH-STEALTH'
10, 36, 100.1076373062777, 100.1076373062777, 'APPROACH-STEALTH'
10, 37, 100.10690546174901, 100.10690546174901, 'APPROACH-STEALTH'
10, 38, 100.10617361722032, 100.10617361722032, 'APPROACH-STEALTH'
10, 39, 100.10544177269163, 100.10544177269163, 'APPROACH-STEALTH'
10, 40, 100.10470992816295, 100.10470992816295, 'APPROACH-STEALTH'
10, 41, 100.10397808363426, 100.10397808363426, 'APPROACH-STEALTH'
10, 42, 100.10251439457689, 100.10251439457689, 'APPROACH-BLIND'
10, 43, 100.10105070551951, 100.10105070551951, 'APPROACH-BLIND'
10, 44, 100.10031886099082, 100.10031886099082, 'APPROACH-STEALTH'
10, 45, 100.09958701646214, 100.09958701646214, 'APPROACH-STEALTH'
10, 46, 100.09885517193345, 100.09885517193345, 'APPROACH-STEALTH'
10, 47, 100.09812332740476, 100.09812332740476, 'APPROACH-STEALTH'
10, 48, 100.09739148287608, 100.09739148287608, 'APPROACH-STEALTH'
10, 49, 100.09665963834739, 100.09665963834739, 'APPROACH-STEALTH'
10, 50, 100.0959277938187, 100.0959277938187, 'APPROACH-STEALTH'
10, 51, 100.09519594929002, 100.09519594929002, 'APPROACH-STEALTH'
10, 52, 100.09446410476133, 100.09446410476133, 'APPROACH-STEALTH'
10, 53, 100.09373226023264, 100.09373226023264, 'APPROACH-STEALTH'
10, 54, 100.09300041570395, 100.09300041570395, 'APPROACH-STEALTH'
10, 55, 100.09226857117527, 100.09226857117527, 'APPROACH-STEALTH'
10, 56, 100.09153672664658, 100.09153672664658, 'APPROACH-STEALTH'
10, 57, 100.0908048821179, 100.0908048821179, 'APPROACH-STEALTH'
10, 58, 100.0900730375892, 100.0900730375892, 'APPROACH-STEALTH'
10, 59, 100.08934119306052, 100.08934119306052, 'APPROACH-STEALTH'
10, 60, 100.08860934853183, 100.08860934853183, 'APPROACH-STEALTH'
10, 61, 100.08787750400315, 100.08787750400315, 'APPROACH-STEALTH'
10, 62, 100.08714565947446, 100.08714565947446, 'APPROACH-STEALTH'
10, 63, 100.08641381494577, 100.08641381494577, 'APPROACH-STEALTH'
10, 64, 100.0849501258884, 100.0849501258884, 'APPROACH-BLIND'
10, 65, 100.08348643683102, 100.08348643683102, 'APPROACH-BLIND'
10, 66, 100.08202274777365, 100.08202274777365, 'APPROACH-BLIND'
10, 67, 100.08055905871628, 100.08055905871628, 'APPROACH-BLIND'
10, 68, 100.0790953696589, 100.0790953696589, 'APPROACH-BLIND'
10, 69, 100.07763168060153, 100.07763168060153, 'APPROACH-BLIND'
10, 70, 100.07689983607284, 100.07689983607284, 'APPROACH-STEALTH'
10, 71, 100.07616799154415, 100.07616799154415, 'APPROACH-STEALTH'
10, 72, 100.07470430248678, 100.07470430248678, 'APPROACH-BLIND'
10, 73, 100.0732406134294, 100.0732406134294, 'APPROACH-BLIND'
10, 74, 100.07177692437203, 100.07177692437203, 'APPROACH-BLIND'
10, 75, 100.07031323531466, 100.07031323531466, 'APPROACH-BLIND'
10, 76, 100.06884954625728, 100.06884954625728, 'APPROACH-BLIND'
