"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"huntingBout.nlogo"
"experiment-scenarios"
"04/29/2025 21:28:41:168 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","199","0","199"
"[run number]","par_obstacle-damage","par_hunters_reactiontime_max","par_preys_fov","par_track-pregeneration-period","par_preys_safe-distance","par_init-obstacle-scale","par_track-mark-probability","par_preys_cooldowntime_min","par_preys_height_max","par_hunters_speed_stealth","par_init-obstacle-diffuse-times","par_hunters_speed_max","par_hunters_tte_max","par_num-hunters","par_hunters_fov","par_num-planned-waypoints","par_init-obstacle-frequency","par_preys_speed_max","par_preys_tte_max","par_preys_visualacuity_mean","par_preys_visualacuity_sd","par_attractiveness-diffuse-times","par_hunters_hearing_radius","par_hunters_cooldowntime_max","par_fires-radius","par_hunters_height_max","par_preys_group_max_size","par_hunters_reactiontime_min","par_hunters_speed_min","display-mode","par_fires-number","par_hunters_tte_min","display-waypoints","par_preys_tte_min","agent-scale","par_preys_reactiontime_max","par_preys_height_min","par_hunters_visualacuity_sd","par_hunters_height_min","par_starting-point-buffer-distance","par_hunters_speed_avmax","scenario-environment","par_preys_speed_min","par_num-preys","par_hunters_cooldowntime_min","par_prey-attractor-probability","par_preys_reactiontime_min","par_attractiveness-diffuse-rate","par_wind-direction","par_hunters_height_stealth","par_preys_hearing_radius","SEED","print-messages","par_hunters_visualacuity_mean","par_preys_speed_avmax","par_max-shooting-distance","par_wind-speed","par_preys_cooldowntime_max","par_init-obstacle-diffuse-rate","waypoints-to-prey-attractors","[step]","patch-width","max-perception-distance","track-maximum","good-daylight-duration","starting-point","wind-spread-angle","starting-point-buffer-distance","obstacle-damage","track-mark-probability","track-pregeneration-period","wind-speed","wind-direction","num-hunters","num-planned-waypoints","hunters_height_stealth","hunters_height_min","hunters_height_max","hunters_visualacuity_mean","hunters_visualacuity_sd","hunters_speed_stealth","hunters_speed_min","hunters_speed_max","hunters_speed_avmax","hunters_tte_min","hunters_tte_max","hunters_reactiontime_min","hunters_reactiontime_max","hunters_cooldowntime_min","hunters_cooldowntime_max","max-shooting-distance","hunters_hearing_radius","hunters_fov","num-preys","preys_group_max_size","preys_safe-distance","preys_height_min","preys_height_max","preys_visualacuity_mean","preys_visualacuity_sd","preys_speed_min","preys_speed_max","preys_speed_avmax","preys_tte_min","preys_tte_max","preys_reactiontime_min","preys_reactiontime_max","preys_cooldowntime_min","preys_cooldowntime_max","preys_hearing_radius","preys_fov","init-obstacle-scale","init-obstacle-frequency","init-obstacle-diffuse-times","init-obstacle-diffuse-rate","prey-attractor-probability","attractiveness-diffuse-times","attractiveness-diffuse-rate","fires-number","fires-radius","attractiveness-to-prey-max","planned-waypoints","visited-waypoints","discarded-waypoints","hunter-prey-detections","prey-hunter-detections","sneaks","pursues","shots","was-bout-successful","is-bout-finished","hunter-who-shot","prey-who-got-shot"
"16","0.01","500","300","7","500","5","0.1","1","100","50","5","50","600","2","200","5","5","75","100","33","20","10","50","800","3","500","5","1","5","attractiveness-to-prey","5","5","true","6","1.5","100","1","15","1.5","1.5","50","default","5","10","50","49","1","0.3","0","50","300","7","false","65","30","50","20","600","0.3","true","734","50","100","5","28800","{patch 100 100}","30","1.5","0.01","0.1","7","0.1111111111111111","0","2","5","50","1.5","500","65","15","0.013888888888888888","0.027777777777777776","0.2777777777777778","0.2777777777777778","5","600","1","500","50","800","1","1","200","10","5","10","1","100","33","20","0.027777777777777776","0.41666666666666674","0.16666666666666669","6","100","1","100","1","600","6","300","5","5","10","0.3","1","10","0.3","0","0","19.995372177148848","{patches [100 100]}","[]","{patches [32 187] [31 187] [134 94] [133 94] [66 160]}","11","594","421","218","8","true","false"," (hunter 11)"," (prey 3)"
"11","0.01","500","300","7","500","5","0.1","1","100","50","5","50","600","2","200","5","5","75","100","33","20","10","50","800","3","500","5","1","5","attractiveness-to-prey","5","5","true","6","1.5","100","1","15","1.5","1.5","50","default","5","10","50","49","1","0.3","0","50","300","5","false","65","30","50","20","600","0.3","false","11205","50","100","5","28800","{patch 100 100}","30","1.5","0.01","0.1","7","0.1111111111111111","0","2","5","50","1.5","500","65","15","0.013888888888888888","0.027777777777777776","0.2777777777777778","0.2777777777777778","5","600","1","500","50","800","1","1","200","10","5","10","1","100","33","20","0.027777777777777776","0.41666666666666674","0.16666666666666669","6","100","1","100","1","600","6","300","5","5","10","0.3","1","10","0.3","0","0","22.934540165200204","{patches [100 100]}","[]","{patches [142 101] [198 91] [191 76] [20 57] [2 43]}","248","926","16905","1064","1","true","false"," (hunter 11)"," (prey 0)"
"12","0.01","500","300","7","500","5","0.1","1","100","50","5","50","600","2","200","5","5","75","100","33","20","10","50","800","3","500","5","1","5","attractiveness-to-prey","5","5","true","6","1.5","100","1","15","1.5","1.5","50","default","5","10","50","49","1","0.3","0","50","300","5","false","65","30","50","20","600","0.3","true","12721","50","100","5","28800","{patch 100 100}","30","1.5","0.01","0.1","7","0.1111111111111111","0","2","5","50","1.5","500","65","15","0.013888888888888888","0.027777777777777776","0.2777777777777778","0.2777777777777778","5","600","1","500","50","800","1","1","200","10","5","10","1","100","33","20","0.027777777777777776","0.41666666666666674","0.16666666666666669","6","100","1","100","1","600","6","300","5","5","10","0.3","1","10","0.3","0","0","22.934540165200204","{patches [100 100]}","[]","{patches [163 154] [164 154] [28 42] [29 42] [163 155]}","320","1255","19171","932","1","true","false"," (hunter 10)"," (prey 0)"
"2","0.01","500","300","7","500","5","0.1","1","100","50","5","50","600","2","200","5","5","75","100","33","20","10","50","800","3","500","5","1","5","attractiveness-to-prey","5","5","true","6","1.5","100","1","15","1.5","1.5","50","default","5","10","50","49","1","0.3","0","50","300","0","false","65","30","50","20","600","0.3","true","29584","50","100","5","28800","{patch 100 100}","30","1.5","0.01","0.1","7","0.1111111111111111","0","2","5","50","1.5","500","65","15","0.013888888888888888","0.027777777777777776","0.2777777777777778","0.2777777777777778","5","600","1","500","50","800","1","1","200","10","5","10","1","100","33","20","0.027777777777777776","0.41666666666666674","0.16666666666666669","6","100","1","100","1","600","6","300","5","5","10","0.3","1","10","0.3","0","0","20.76994189749543","{patches [100 100]}","[{patch 130 45} {patch 187 84} {patch 188 84} {patch 188 85} {patch 187 85} {patch 100 100}]","[]","210","607","12162","488","0","false","true","",""
"7","0.01","500","300","7","500","5","0.1","1","100","50","5","50","600","2","200","5","5","75","100","33","20","10","50","800","3","500","5","1","5","attractiveness-to-prey","5","5","true","6","1.5","100","1","15","1.5","1.5","50","default","5","10","50","49","1","0.3","0","50","300","3","false","65","30","50","20","600","0.3","false","32995","50","100","5","28800","{patch 100 100}","30","1.5","0.01","0.1","7","0.1111111111111111","0","2","5","50","1.5","500","65","15","0.013888888888888888","0.027777777777777776","0.2777777777777778","0.2777777777777778","5","600","1","500","50","800","1","1","200","10","5","10","1","100","33","20","0.027777777777777776","0.41666666666666674","0.16666666666666669","6","100","1","100","1","600","6","300","5","5","10","0.3","1","10","0.3","0","0","37.39397969348247","{patches [100 100]}","[{patch 78 182} {patch 113 186} {patch 115 129} {patch 100 100}]","[]","267","4330","14094","3422","0","false","true","",""
"17","0.01","500","300","7","500","5","0.1","1","100","50","5","50","600","2","200","5","5","75","100","33","20","10","50","800","3","500","5","1","5","attractiveness-to-prey","5","5","true","6","1.5","100","1","15","1.5","1.5","50","default","5","10","50","49","1","0.3","0","50","300","8","false","65","30","50","20","600","0.3","false","28770","50","100","5","28800","{patch 100 100}","30","1.5","0.01","0.1","7","0.1111111111111111","0","2","5","50","1.5","500","65","15","0.013888888888888888","0.027777777777777776","0.2777777777777778","0.2777777777777778","5","600","1","500","50","800","1","1","200","10","5","10","1","100","33","20","0.027777777777777776","0.41666666666666674","0.16666666666666669","6","100","1","100","1","600","6","300","5","5","10","0.3","1","10","0.3","0","0","28.914207609490944","{patches [100 100]}","[{patch 22 40} {patch 73 17} {patch 135 133} {patch 143 101} {patch 97 67} {patch 100 100}]","[]","517","5522","21330","8329","5","false","true","",""
"19","0.01","500","300","7","500","5","0.1","1","100","50","5","50","600","2","200","5","5","75","100","33","20","10","50","800","3","500","5","1","5","attractiveness-to-prey","5","5","true","6","1.5","100","1","15","1.5","1.5","50","default","5","10","50","49","1","0.3","0","50","300","9","false","65","30","50","20","600","0.3","false","18554","50","100","5","28800","{patch 100 100}","30","1.5","0.01","0.1","7","0.1111111111111111","0","2","5","50","1.5","500","65","15","0.013888888888888888","0.027777777777777776","0.2777777777777778","0.2777777777777778","5","600","1","500","50","800","1","1","200","10","5","10","1","100","33","20","0.027777777777777776","0.41666666666666674","0.16666666666666669","6","100","1","100","1","600","6","300","5","5","10","0.3","1","10","0.3","0","0","27.37616360262147","{patches [100 100]}","[{patch 46 100} {patch 54 80}]","{patches [174 162] [189 146] [173 121]}","166","3447","6971","3450","1","true","false"," (hunter 10)"," (prey 3)"
"21","0.01","500","300","7","500","5","0.1","1","100","50","5","50","600","2","200","5","5","75","100","33","20","10","50","800","3","500","5","1","5","attractiveness-to-prey","5","5","true","6","1.5","100","1","15","1.5","1.5","50","wet and no fires","5","10","50","49","1","0.3","0","50","300","0","false","65","30","50","20","600","0.3","false","2429","50","100","5","28800","{patch 100 100}","30","1.5","0.01","0.1","7","0.1111111111111111","0","2","5","50","1.5","500","65","15","0.013888888888888888","0.027777777777777776","0.2777777777777778","0.2777777777777778","5","600","1","500","50","800","1","1","200","10","5","10","1","100","33","20","0.027777777777777776","0.41666666666666674","0.16666666666666669","6","100","1","100","1","600","6","300","10","10","5","0.3","20","10","0.3","0","0","64.83688973380153","{patches [100 100]}","[]","{patches [156 187] [118 53] [190 7] [85 5] [175 1]}","6","264","4055","569","1","true","false"," (hunter 11)"," (prey 7)"
"22","0.01","500","300","7","500","5","0.1","1","100","50","5","50","600","2","200","5","5","75","100","33","20","10","50","800","3","500","5","1","5","attractiveness-to-prey","5","5","true","6","1.5","100","1","15","1.5","1.5","50","wet and no fires","5","10","50","49","1","0.3","0","50","300","0","false","65","30","50","20","600","0.3","true","2836","50","100","5","28800","{patch 100 100}","30","1.5","0.01","0.1","7","0.1111111111111111","0","2","5","50","1.5","500","65","15","0.013888888888888888","0.027777777777777776","0.2777777777777778","0.2777777777777778","5","600","1","500","50","800","1","1","200","10","5","10","1","100","33","20","0.027777777777777776","0.41666666666666674","0.16666666666666669","6","100","1","100","1","600","6","300","10","10","5","0.3","20","10","0.3","0","0","64.83688973380153","{patches [100 100]}","[]","{patches [161 84] [30 33] [161 83] [162 84] [161 85]}","18","369","4530","867","10","true","false"," (hunter 11)"," (prey 7)"
"6","0.01","500","300","7","500","5","0.1","1","100","50","5","50","600","2","200","5","5","75","100","33","20","10","50","800","3","500","5","1","5","attractiveness-to-prey","5","5","true","6","1.5","100","1","15","1.5","1.5","50","default","5","10","50","49","1","0.3","0","50","300","2","false","65","30","50","20","600","0.3","true","48238","50","100","5","28800","{patch 100 100}","30","1.5","0.01","0.1","7","0.1111111111111111","0","2","5","50","1.5","500","65","15","0.013888888888888888","0.027777777777777776","0.2777777777777778","0.2777777777777778","5","600","1","500","50","800","1","1","200","10","5","10","1","100","33","20","0.027777777777777776","0.41666666666666674","0.16666666666666669","6","100","1","100","1","600","6","300","5","5","10","0.3","1","10","0.3","0","0","28.912103338194754","{patches [100 100]}","[{patch 100 100}]","[]","924","10322","48851","9596","9","false","true","",""
