hunter,tick,x,y,mode
15, 0, 100.01291019865043, 100.01291019865043, 'SEARCH'
15, 1, 100.01291019865043, 100.01291019865043, 'SEARCH'
15, 2, 100.04067935739896, 100.04067935739896, 'APPROACH-BLIND'
15, 3, 100.06844851614748, 100.06844851614748, 'APPROACH-BLIND'
15, 4, 100.09621767489601, 100.09621767489601, 'APPROACH-BLIND'
15, 5, 100.12398683364454, 100.12398683364454, 'APPROACH-BLIND'
15, 6, 100.15175599239306, 100.15175599239306, 'APPROACH-BLIND'
15, 7, 100.17952515114159, 100.17952515114159, 'APPROACH-BLIND'
15, 8, 100.20729430989012, 100.20729430989012, 'APPROACH-BLIND'
15, 9, 100.23506346863864, 100.23506346863864, 'APPROACH-BLIND'
15, 10, 100.26283262738717, 100.26283262738717, 'APPROACH-BLIND'
15, 11, 100.2906017861357, 100.2906017861357, 'APPROACH-BLIND'
15, 12, 100.31837094488422, 100.31837094488422, 'APPROACH-BLIND'
15, 13, 100.34614010363275, 100.34614010363275, 'APPROACH-BLIND'
15, 14, 100.37390926238128, 100.37390926238128, 'APPROACH-BLIND'
15, 15, 100.4016784211298, 100.4016784211298, 'APPROACH-BLIND'
15, 16, 100.42944757987833, 100.42944757987833, 'APPROACH-BLIND'
15, 17, 100.45721673862685, 100.45721673862685, 'APPROACH-BLIND'
15, 18, 100.48498589737538, 100.48498589737538, 'APPROACH-BLIND'
15, 19, 100.51275505612391, 100.51275505612391, 'APPROACH-BLIND'
15, 20, 100.54053190841857, 100.54053190841857, 'APPROACH-BLIND'
15, 21, 100.56830876071324, 100.56830876071324, 'APPROACH-BLIND'
15, 22, 100.5960856130079, 100.5960856130079, 'APPROACH-BLIND'
15, 23, 100.62386246530257, 100.62386246530257, 'APPROACH-BLIND'
15, 24, 100.65163931759723, 100.65163931759723, 'APPROACH-BLIND'
15, 25, 100.6794161698919, 100.6794161698919, 'APPROACH-BLIND'
15, 26, 100.70719302218656, 100.70719302218656, 'APPROACH-BLIND'
15, 27, 100.73496987448122, 100.73496987448122, 'APPROACH-BLIND'
15, 28, 100.76274672677589, 100.76274672677589, 'APPROACH-BLIND'
15, 29, 100.79052357907055, 100.79052357907055, 'APPROACH-BLIND'
15, 30, 100.81830043136522, 100.81830043136522, 'APPROACH-BLIND'
15, 31, 100.84607728365988, 100.84607728365988, 'APPROACH-BLIND'
15, 32, 100.87385413595455, 100.87385413595455, 'APPROACH-BLIND'
15, 33, 100.90163098824921, 100.90163098824921, 'APPROACH-BLIND'
15, 34, 100.92940784054387, 100.92940784054387, 'APPROACH-BLIND'
15, 35, 100.95718469283854, 100.95718469283854, 'APPROACH-BLIND'
15, 36, 100.9849615451332, 100.9849615451332, 'APPROACH-BLIND'
15, 37, 101.01273839742787, 101.01273839742787, 'APPROACH-BLIND'
15, 38, 101.04051524972253, 101.04051524972253, 'APPROACH-BLIND'
15, 39, 101.0682921020172, 101.0682921020172, 'APPROACH-BLIND'
15, 40, 101.09606895431186, 101.09606895431186, 'APPROACH-BLIND'
15, 41, 101.12384580660652, 101.12384580660652, 'APPROACH-BLIND'
15, 42, 101.15162265890119, 101.15162265890119, 'APPROACH-BLIND'
15, 43, 101.17939951119585, 101.17939951119585, 'APPROACH-BLIND'
15, 44, 101.20717636349052, 101.20717636349052, 'APPROACH-BLIND'
15, 45, 101.23495321578518, 101.23495321578518, 'APPROACH-BLIND'
15, 46, 101.26273006807985, 101.26273006807985, 'APPROACH-BLIND'
15, 47, 101.29050692037451, 101.29050692037451, 'APPROACH-BLIND'
15, 48, 101.31828377266918, 101.31828377266918, 'APPROACH-BLIND'
15, 49, 101.34606062496384, 101.34606062496384, 'APPROACH-BLIND'
15, 50, 101.3738374772585, 101.3738374772585, 'APPROACH-BLIND'
15, 51, 101.40161432955317, 101.40161432955317, 'APPROACH-BLIND'
15, 52, 101.42939118184783, 101.42939118184783, 'APPROACH-BLIND'
15, 53, 101.4571680341425, 101.4571680341425, 'APPROACH-BLIND'
15, 54, 101.48494488643716, 101.48494488643716, 'APPROACH-BLIND'
15, 55, 101.51272173873183, 101.51272173873183, 'APPROACH-BLIND'
15, 56, 101.54049941716198, 101.54049941716198, 'APPROACH-BLIND'
15, 57, 101.56827709559214, 101.56827709559214, 'APPROACH-BLIND'
15, 58, 101.59605477402229, 101.59605477402229, 'APPROACH-BLIND'
15, 59, 101.62383245245245, 101.62383245245245, 'APPROACH-BLIND'
15, 60, 101.6516101308826, 101.6516101308826, 'APPROACH-BLIND'
15, 61, 101.67938780931276, 101.67938780931276, 'APPROACH-BLIND'
15, 62, 101.70716548774291, 101.70716548774291, 'APPROACH-BLIND'
15, 63, 101.73494316617307, 101.73494316617307, 'APPROACH-BLIND'
15, 64, 101.76272084460322, 101.76272084460322, 'APPROACH-BLIND'
15, 65, 101.79049852303338, 101.79049852303338, 'APPROACH-BLIND'
15, 66, 101.81827620146353, 101.81827620146353, 'APPROACH-BLIND'
15, 67, 101.84605387989369, 101.84605387989369, 'APPROACH-BLIND'
15, 68, 101.87383155832384, 101.87383155832384, 'APPROACH-BLIND'
15, 69, 101.901609236754, 101.901609236754, 'APPROACH-BLIND'
15, 70, 101.92938691518415, 101.92938691518415, 'APPROACH-BLIND'
15, 71, 101.95716459361431, 101.95716459361431, 'APPROACH-BLIND'
15, 72, 101.98494227204446, 101.98494227204446, 'APPROACH-BLIND'
15, 73, 102.01271995047462, 102.01271995047462, 'APPROACH-BLIND'
15, 74, 102.04049762890477, 102.04049762890477, 'APPROACH-BLIND'
15, 75, 102.06827530733493, 102.06827530733493, 'APPROACH-BLIND'
15, 76, 102.09605298576508, 102.09605298576508, 'APPROACH-BLIND'
15, 77, 102.12383066419524, 102.12383066419524, 'APPROACH-BLIND'
15, 78, 102.1516083426254, 102.1516083426254, 'APPROACH-BLIND'
15, 79, 102.17938602105555, 102.17938602105555, 'APPROACH-BLIND'
15, 80, 102.2071636994857, 102.2071636994857, 'APPROACH-BLIND'
15, 81, 102.23494137791586, 102.23494137791586, 'APPROACH-BLIND'
15, 82, 102.26271905634601, 102.26271905634601, 'APPROACH-BLIND'
15, 83, 102.29049673477617, 102.29049673477617, 'APPROACH-BLIND'
15, 84, 102.31827441320632, 102.31827441320632, 'APPROACH-BLIND'
15, 85, 102.34605209163648, 102.34605209163648, 'APPROACH-BLIND'
15, 86, 102.37382977006664, 102.37382977006664, 'APPROACH-BLIND'
15, 87, 102.40160744849679, 102.40160744849679, 'APPROACH-BLIND'
15, 88, 102.42938512692695, 102.42938512692695, 'APPROACH-BLIND'
15, 89, 102.4571628053571, 102.4571628053571, 'APPROACH-BLIND'
15, 90, 102.48494048378726, 102.48494048378726, 'APPROACH-BLIND'
15, 91, 102.51271816221741, 102.51271816221741, 'APPROACH-BLIND'
15, 92, 102.54049592933086, 102.54049592933086, 'APPROACH-BLIND'
15, 93, 102.56827369644431, 102.56827369644431, 'APPROACH-BLIND'
15, 94, 102.59605146355776, 102.59605146355776, 'APPROACH-BLIND'
15, 95, 102.6238292306712, 102.6238292306712, 'APPROACH-BLIND'
15, 96, 102.65160699778465, 102.65160699778465, 'APPROACH-BLIND'
15, 97, 102.6793847648981, 102.6793847648981, 'APPROACH-BLIND'
15, 98, 102.70716253201155, 102.70716253201155, 'APPROACH-BLIND'
15, 99, 102.734940299125, 102.734940299125, 'APPROACH-BLIND'
15, 100, 102.76271806623845, 102.76271806623845, 'APPROACH-BLIND'
15, 101, 102.7904958333519, 102.7904958333519, 'APPROACH-BLIND'
15, 102, 102.81827360046535, 102.81827360046535, 'APPROACH-BLIND'
15, 103, 102.8460513675788, 102.8460513675788, 'APPROACH-BLIND'
15, 104, 102.87382913469224, 102.87382913469224, 'APPROACH-BLIND'
15, 105, 102.90160690180569, 102.90160690180569, 'APPROACH-BLIND'
15, 106, 102.92938466891914, 102.92938466891914, 'APPROACH-BLIND'
15, 107, 102.95716243603259, 102.95716243603259, 'APPROACH-BLIND'
15, 108, 102.98494020314604, 102.98494020314604, 'APPROACH-BLIND'
15, 109, 103.01271797025949, 103.01271797025949, 'APPROACH-BLIND'
15, 110, 103.04049573737294, 103.04049573737294, 'APPROACH-BLIND'
15, 111, 103.06827350448638, 103.06827350448638, 'APPROACH-BLIND'
15, 112, 103.09605127159983, 103.09605127159983, 'APPROACH-BLIND'
15, 113, 103.12382903871328, 103.12382903871328, 'APPROACH-BLIND'
15, 114, 103.15160680582673, 103.15160680582673, 'APPROACH-BLIND'
15, 115, 103.17938457294018, 103.17938457294018, 'APPROACH-BLIND'
15, 116, 103.20716234005363, 103.20716234005363, 'APPROACH-BLIND'
15, 117, 103.23494010716708, 103.23494010716708, 'APPROACH-BLIND'
15, 118, 103.26271787428053, 103.26271787428053, 'APPROACH-BLIND'
15, 119, 103.29049564139397, 103.29049564139397, 'APPROACH-BLIND'
15, 120, 103.31827340850742, 103.31827340850742, 'APPROACH-BLIND'
15, 121, 103.34605117562087, 103.34605117562087, 'APPROACH-BLIND'
15, 122, 103.37382894273432, 103.37382894273432, 'APPROACH-BLIND'
15, 123, 103.40160670984777, 103.40160670984777, 'APPROACH-BLIND'
15, 124, 103.42938447696122, 103.42938447696122, 'APPROACH-BLIND'
15, 125, 103.45716224407467, 103.45716224407467, 'APPROACH-BLIND'
15, 126, 103.48494001118812, 103.48494001118812, 'APPROACH-BLIND'
15, 127, 103.51271777830156, 103.51271777830156, 'APPROACH-BLIND'
15, 128, 103.5404955549346, 103.5404955549346, 'APPROACH-BLIND'
15, 129, 103.56827333156762, 103.56827333156762, 'APPROACH-BLIND'
15, 130, 103.59605110820065, 103.59605110820065, 'APPROACH-BLIND'
15, 131, 103.62382888483369, 103.62382888483369, 'APPROACH-BLIND'
15, 132, 103.65160666146672, 103.65160666146672, 'APPROACH-BLIND'
15, 133, 103.67938443809975, 103.67938443809975, 'APPROACH-BLIND'
15, 134, 103.70716221473278, 103.70716221473278, 'APPROACH-BLIND'
15, 135, 103.7349399913658, 103.7349399913658, 'APPROACH-BLIND'
15, 136, 103.76271776799884, 103.76271776799884, 'APPROACH-BLIND'
15, 137, 103.79049554463187, 103.79049554463187, 'APPROACH-BLIND'
15, 138, 103.8182733212649, 103.8182733212649, 'APPROACH-BLIND'
15, 139, 103.84605109789793, 103.84605109789793, 'APPROACH-BLIND'
15, 140, 103.87382887453096, 103.87382887453096, 'APPROACH-BLIND'
15, 141, 103.90160665116399, 103.90160665116399, 'APPROACH-BLIND'
15, 142, 103.92938442779702, 103.92938442779702, 'APPROACH-BLIND'
15, 143, 103.95716220443005, 103.95716220443005, 'APPROACH-BLIND'
15, 144, 103.98493998106308, 103.98493998106308, 'APPROACH-BLIND'
15, 145, 104.01271775769611, 104.01271775769611, 'APPROACH-BLIND'
15, 146, 104.04049553432914, 104.04049553432914, 'APPROACH-BLIND'
15, 147, 104.06827331096217, 104.06827331096217, 'APPROACH-BLIND'
15, 148, 104.0960510875952, 104.0960510875952, 'APPROACH-BLIND'
15, 149, 104.12382886422823, 104.12382886422823, 'APPROACH-BLIND'
15, 150, 104.15160664086126, 104.15160664086126, 'APPROACH-BLIND'
15, 151, 104.17938441749429, 104.17938441749429, 'APPROACH-BLIND'
15, 152, 104.20716219412732, 104.20716219412732, 'APPROACH-BLIND'
15, 153, 104.23493997076035, 104.23493997076035, 'APPROACH-BLIND'
15, 154, 104.26271774739338, 104.26271774739338, 'APPROACH-BLIND'
15, 155, 104.29049552402641, 104.29049552402641, 'APPROACH-BLIND'
15, 156, 104.31827330065944, 104.31827330065944, 'APPROACH-BLIND'
15, 157, 104.34605107729247, 104.34605107729247, 'APPROACH-BLIND'
15, 158, 104.3738288539255, 104.3738288539255, 'APPROACH-BLIND'
15, 159, 104.40160663055853, 104.40160663055853, 'APPROACH-BLIND'
15, 160, 104.42938440719156, 104.42938440719156, 'APPROACH-BLIND'
15, 161, 104.4571621838246, 104.4571621838246, 'APPROACH-BLIND'
15, 162, 104.48493996045762, 104.48493996045762, 'APPROACH-BLIND'
15, 163, 104.51271773709065, 104.51271773709065, 'APPROACH-BLIND'
15, 164, 104.54049551474556, 104.54049551474556, 'APPROACH-BLIND'
15, 165, 104.56827329240046, 104.56827329240046, 'APPROACH-BLIND'
15, 166, 104.59605107005537, 104.59605107005537, 'APPROACH-BLIND'
15, 167, 104.62382884771027, 104.62382884771027, 'APPROACH-BLIND'
15, 168, 104.65160662536518, 104.65160662536518, 'APPROACH-BLIND'
15, 169, 104.67938440302008, 104.67938440302008, 'APPROACH-BLIND'
15, 170, 104.70716218067498, 104.70716218067498, 'APPROACH-BLIND'
15, 171, 104.73493995832989, 104.73493995832989, 'APPROACH-BLIND'
15, 172, 104.7627177359848, 104.7627177359848, 'APPROACH-BLIND'
15, 173, 104.7904955136397, 104.7904955136397, 'APPROACH-BLIND'
15, 174, 104.8182732912946, 104.8182732912946, 'APPROACH-BLIND'
15, 175, 104.8460510689495, 104.8460510689495, 'APPROACH-BLIND'
15, 176, 104.87382884660441, 104.87382884660441, 'APPROACH-BLIND'
15, 177, 104.90160662425932, 104.90160662425932, 'APPROACH-BLIND'
15, 178, 104.92938440191422, 104.92938440191422, 'APPROACH-BLIND'
15, 179, 104.95716217956912, 104.95716217956912, 'APPROACH-BLIND'
15, 180, 104.98493995722403, 104.98493995722403, 'APPROACH-BLIND'
15, 181, 105.01271773487893, 105.01271773487893, 'APPROACH-BLIND'
15, 182, 105.04049551253384, 105.04049551253384, 'APPROACH-BLIND'
15, 183, 105.06827329018874, 105.06827329018874, 'APPROACH-BLIND'
15, 184, 105.09605106784365, 105.09605106784365, 'APPROACH-BLIND'
15, 185, 105.12382884549855, 105.12382884549855, 'APPROACH-BLIND'
15, 186, 105.15160662315346, 105.15160662315346, 'APPROACH-BLIND'
15, 187, 105.17938440080836, 105.17938440080836, 'APPROACH-BLIND'
15, 188, 105.20716217846326, 105.20716217846326, 'APPROACH-BLIND'
15, 189, 105.23493995611817, 105.23493995611817, 'APPROACH-BLIND'
15, 190, 105.26271773377307, 105.26271773377307, 'APPROACH-BLIND'
15, 191, 105.29049551142798, 105.29049551142798, 'APPROACH-BLIND'
15, 192, 105.31827328908288, 105.31827328908288, 'APPROACH-BLIND'
15, 193, 105.34605106673779, 105.34605106673779, 'APPROACH-BLIND'
15, 194, 105.37382884439269, 105.37382884439269, 'APPROACH-BLIND'
15, 195, 105.4016066220476, 105.4016066220476, 'APPROACH-BLIND'
15, 196, 105.4293843997025, 105.4293843997025, 'APPROACH-BLIND'
15, 197, 105.4571621773574, 105.4571621773574, 'APPROACH-BLIND'
15, 198, 105.48493995501231, 105.48493995501231, 'APPROACH-BLIND'
15, 199, 105.51271773266721, 105.51271773266721, 'APPROACH-BLIND'
